"","time","datacount","interval","activity","cumulativesteps","methrs"
"206",2019-04-11 12:26:25,447862,32.5,1,174,0.0126388888888889
"207",2019-04-11 12:26:57,448187,1.8,2,176,0.00142222222222222
"208",2019-04-11 12:26:59,448205,2.8,2,178,0.00181111111111111
"209",2019-04-11 12:27:02,448233,13.2,1,178,0.00513333333333333
"210",2019-04-11 12:27:15,448365,18.2,0,178,0.00631944444444444
"211",2019-04-11 12:27:33,448547,28.5,1,178,0.0110833333333333
"212",2019-04-11 12:28:02,448832,2.1,2,180,0.00153888888888889
"213",2019-04-11 12:28:04,448853,4,2,182,0.00227777777777778
"214",2019-04-11 12:28:08,448893,3.2,2,184,0.00196666666666667
"215",2019-04-11 12:28:11,448925,96.2,1,184,0.0374111111111111
"216",2019-04-11 12:29:47,449887,5,2,186,0.00266666666666667
"217",2019-04-11 12:29:52,449937,10,1,186,0.00388888888888889
"218",2019-04-11 12:30:02,450037,4,2,188,0.00227777777777778
"219",2019-04-11 12:30:06,450077,16,1,188,0.00622222222222222
"220",2019-04-11 12:30:22,450237,4.1,2,190,0.00231666666666667
"221",2019-04-11 12:30:26,450278,1.9,2,192,0.00146111111111111
"222",2019-04-11 12:30:28,450297,4.4,2,194,0.00243333333333333
"223",2019-04-11 12:30:33,450341,8.2,1,194,0.00318888888888889
"224",2019-04-11 12:30:41,450423,2.1,2,196,0.00153888888888889
"225",2019-04-11 12:30:43,450444,4.6,2,198,0.00251111111111111
"226",2019-04-11 12:30:48,450490,3.6,2,200,0.00212222222222222
"227",2019-04-11 12:30:51,450526,14.5,1,200,0.00563888888888889
"228",2019-04-11 12:31:06,450671,5.6,2,202,0.0029
"229",2019-04-11 12:31:11,450727,9.7,1,202,0.00377222222222222
"230",2019-04-11 12:31:21,450824,4.7,2,204,0.00255
"231",2019-04-11 12:31:26,450871,78.8,1,204,0.0306444444444444
"232",2019-04-11 12:32:44,451659,2.5,2,206,0.00169444444444444
"233",2019-04-11 12:32:47,451684,8.5,1,206,0.00330555555555556
"234",2019-04-11 12:32:55,451769,4,2,208,0.00227777777777778
"235",2019-04-11 12:32:59,451809,10,1,208,0.00388888888888889
"236",2019-04-11 12:33:09,451909,5.7,2,210,0.00293888888888889
"237",2019-04-11 12:33:15,451966,2.5,2,212,0.00169444444444444
"238",2019-04-11 12:33:18,451991,71.9,1,212,0.0279611111111111
"239",2019-04-11 12:34:29,452710,5.4,2,214,0.00282222222222222
"240",2019-04-11 12:34:35,452764,8.4,1,214,0.00326666666666667
"241",2019-04-11 12:34:43,452848,2.1,2,216,0.00153888888888889
"242",2019-04-11 12:34:45,452869,48.1,1,216,0.0187055555555556
"243",2019-04-11 12:35:34,453350,10.6,0,216,0.00368055555555556
